15.759	0
15.999	2.023e-22
16.999	1.337e-21
17.999	2.938e-21
18.999	4.601e-21
19.999	6.272e-21
20.999	7.873e-21
21.999	9.325e-21
22.999	1.056e-20
23.999	1.179e-20
24.999	1.302e-20
25.998	1.408e-20
27.999	1.601e-20
29.999	1.803e-20
31.999	1.962e-20
33.999	2.111e-20
35.998	2.243e-20
37.998	2.331e-20
39.998	2.393e-20
42.498	2.446e-20
44.998	2.49e-20
49.998	2.534e-20
54.998	2.595e-20
59.997	2.657e-20
64.997	2.727e-20
69.997	2.771e-20
74.997	2.815e-20
79.996	2.841e-20
84.996	2.85e-20
89.999	2.859e-20
99.996	2.85e-20
115	2.824e-20
129.99	2.762e-20
145	2.709e-20
159.99	2.622e-20
179.99	2.516e-20
199.99	2.393e-20
399.98	1.69e-20
699.97	1.17e-20
999.96	9.27e-21
